,사업정보,,,,,,,,,,,,,,,,,예산현액,,,,,,,,,,,이월액상세,,,,선택차수편성액,재배정,예산배정,,자금배정,지출,,,,,,배정잔액(A-B),지출잔액(A-C),분야/부문,,보조금,,,,,,다음년도이월,,일상경비,,사업형태
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,원인행위액,,,지출액(C),,,,,,,,,,,,,,,,,
,회계연도,회계구분코드,회계구분,부서코드,부서명,정책사업코드,정책사업명,단위사업코드,단위사업명,세부사업코드,세부사업명,통계목,관리사업코드,관리사업명,재원구분코드,재원,사업구분,계,편성액,당초,추경,성립전,기금계획변경,간주예산,예산변경,관리사업변경,예비비,수입대체경비,이월액계,명시이월액,사고이월액,계속비이월액,,,배정액,유보액,자금배정,일반,예비비,계,일반,예비비,계,,,분야,부문,구분,법정여부,소관,국고사업명,확정내시액(국비),확정내시액(시도비),다음년도이월액,자금없는이월액,일상경비교부액,일상경비지출액,일상경비지출액
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,32200002019300C3,바른 식생활 관리 사업,201-03 행사운영비,,,,,,"22,000,000","22,000,000","22,000,000",,,,,,,,,,,,,,,"22,000,000",,"3,000,000","3,000,000",,"3,000,000","3,000,000",,"3,000,000",,"19,000,000",보건,보건의료,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,32200002013300B1,건강증진지원실 운영,,,,,,자체,"56,492,000","56,492,000","56,492,000",,,,,,,,,,,,,,,"54,796,000",,"12,000,000","12,000,000",,"12,000,000","12,000,000",,"12,000,000","1,696,000","44,492,000",보건,보건의료,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,32200002013300B1,건강증진지원실 운영,201-01 사무관리비,,,,,,"19,496,000","19,496,000","19,496,000",,,,,,,,,,,,,,,"19,496,000",,"10,000,000","10,000,000",,"10,000,000","10,000,000",,"10,000,000",,"9,496,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,32200002013300B1,건강증진지원실 운영,201-02 공공운영비,,,,,,"456,000","456,000","456,000",,,,,,,,,,,,,,,,,,,,,,,,"456,000","456,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,32200002013300B1,건강증진지원실 운영,201-03 행사운영비,,,,,,"6,300,000","6,300,000","6,300,000",,,,,,,,,,,,,,,"6,300,000",,,,,,,,,,"6,300,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,32200002013300B1,건강증진지원실 운영,202-01 국내여비,,,,,,"1,440,000","1,440,000","1,440,000",,,,,,,,,,,,,,,"1,000,000",,"1,000,000","1,000,000",,"1,000,000","1,000,000",,"1,000,000","440,000","440,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,32200002013300B1,건강증진지원실 운영,203-03 시책추진업무추진비,,,,,,"1,800,000","1,800,000","1,800,000",,,,,,,,,,,,,,,"1,000,000",,"1,000,000","1,000,000",,"1,000,000","1,000,000",,"1,000,000","800,000","800,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,32200002013300B1,건강증진지원실 운영,307-01 의료 및 회복비,,,,,,"27,000,000","27,000,000","27,000,000",,,,,,,,,,,,,,,"27,000,000",,,,,,,,,,"27,000,000",보건,보건의료,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,32200002025300A3,농식품 바우처 사업,,,,,,보조,"953,000,000","953,000,000","953,000,000",,,,,,,,,,,,,,,"953,000,000",,"457,024,640","457,024,640",,"457,024,640","457,024,640",,"457,024,640",,"495,975,360",보건,보건의료,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,32200002025300A3,농식품 바우처 사업,101-04 기간제근로자등보수,,,,,,"57,895,000","57,895,000","57,895,000",,,,,,,,,,,,,,,"57,895,000",,"11,424,640","11,424,640",,"11,424,640","11,424,640",,"11,424,640",,"46,470,360",보건,보건의료,,,,,,,,,,,
